CustomerContactId;status code;status name;details;milliseconds spent
1190244;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 10005 with a balance of 897.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 10005 with a balance of 897.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,9982"
1191051;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 10269 with a balance of 285.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 10269 with a balance of 285.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0808"
1191067;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 10275 with a balance of 285.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 10275 with a balance of 285.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,5991"
1193857;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11106 with a balance of 209.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11106 with a balance of 209.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8506"
1193875;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11115 with a balance of 897.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11115 with a balance of 897.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8821"
1194132;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11214 with a balance of 495.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11214 with a balance of 495.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,5662"
1195166;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11676 with a balance of 580.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11676 with a balance of 580.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"6,3302"
1195211;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11711 with a balance of 3960.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11711 with a balance of 3960.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,4043"
1195389;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11778 with a balance of 1200.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11778 with a balance of 1200.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"28,3102"
1195662;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11817 with a balance of 520.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11817 with a balance of 520.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,7304"
1195929;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 11864 with a balance of 598.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 11864 with a balance of 598.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"6,2469"
1196475;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 12524 with a balance of 299.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 12524 with a balance of 299.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"12,7792"
1326088;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 66977 with a balance of 9000.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 66977 with a balance of 9000.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,3018"
1332948;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 73786 with a balance of 900.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 73786 with a balance of 900.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"7,3038"
1203839;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 12581 with a balance of -1121.40
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 12581 with a balance of -1121.40
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,2494"
1341643;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 82398 with a balance of 9001.40
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 82398 with a balance of 9001.40
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,9579"
1207358;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 13355 with a balance of 1200.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 13355 with a balance of 1200.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1031"
1207822;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 13516 with a balance of 1350.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 13516 with a balance of 1350.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8939"
1207856;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 13530 with a balance of 600.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 13530 with a balance of 600.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,5663"
1207871;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 13543 with a balance of 1050.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 13543 with a balance of 1050.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,4735"
1207872;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 13544 with a balance of -750.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 13544 with a balance of -750.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,2035"
1209751;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 14148 with a balance of 0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 14148 with a balance of 0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,508"
1351820;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 92486 with a balance of 100.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 92486 with a balance of 100.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,6968"
1212543;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 14733 with a balance of 760.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 14733 with a balance of 760.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1802"
1214521;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 15771 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 15771 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"12,8279"
1216191;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 16294 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 16294 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,198"
1216615;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 16452 with a balance of 199.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 16452 with a balance of 199.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0813"
1216875;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 25719 with a balance of 0.00
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 25719 with a balance of 0.00
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,2957"
1355781;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 95580 with a balance of -5121.40
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 95580 with a balance of -5121.40
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,1058"
